date;home_team;away_team;home_team_fifa_rank;away_team_fifa_rank;home_team_total_fifa_points;away_team_total_fifa_points;home_team_score;away_team_score;tournament;country;home_team_result;home_team_goalkeeper_score;away_team_goalkeeper_score;home_team_mean_defense_score;home_team_mean_offense_score;home_team_mean_midfield_score;away_team_mean_defense_score;away_team_mean_offense_score;away_team_mean_midfield_score
30/01/2022;Mexico;Costa Rica;14;49;1638;1437;0;0;FIFA World Cup qualification;Mexico;Draw;80.0;88.0;76.8;82.7;78.2;71.5;70.3;69.2
27/01/2022;Ecuador;Brazil;46;2;1448;1826;1;1;FIFA World Cup qualification;Ecuador;Draw;71.0;89.0;73.5;76.0;74.5;84.8;86.3;85.5
10/01/2022;Morocco;Ghana;28;52;1529;1428;1;0;African Cup of Nations;Cameroon;Win;82.0;74.0;81.2;81.7;76.2;75.5;76.0;78.2
07/12/2021;Morocco;Saudi Arabia;28;48;1525;1441;1;0;Arab Cup;Qatar;Win;82.0;70.0;81.2;81.7;76.2;72.8;67.7;72.8
16/11/2021;Canada;Mexico;48;9;1432;1672;2;1;FIFA World Cup qualification;Canada;Win;76.0;80.0;69.2;73.0;78.0;76.8;82.7;78.2
16/11/2021;Wales;Belgium;19;1;1566;1832;1;1;FIFA World Cup qualification;Wales;Draw;74.0;89.0;75.0;73.0;78.5;80.8;85.7;85.5
16/11/2021;Argentina;Brazil;6;2;1738;1820;0;0;FIFA World Cup qualification;Argentina;Draw;84.0;89.0;82.2;89.0;84.0;84.8;86.3;85.5
14/11/2021;Portugal;Serbia;8;25;1681;1527;1;2;FIFA World Cup qualification;Portugal;Lose;82.0;80.0;85.2;86.0;84.5;75.8;80.3;81.8
12/11/2021;Canada;Costa Rica;48;45;1432;1439;1;0;FIFA World Cup qualification;Canada;Win;76.0;88.0;69.2;73.0;78.0;71.5;70.3;69.2
12/11/2021;USA;Mexico;13;9;1639;1672;2;0;FIFA World Cup qualification;USA;Win;77.0;80.0;75.8;77.7;75.8;76.8;82.7;78.2
12/11/2021;Uruguay;Argentina;15;6;1625;1738;0;1;FIFA World Cup qualification;Uruguay;Lose;80.0;84.0;81.2;84.3;80.0;82.2;89.0;84.0
11/11/2021;Serbia;Qatar;25;46;1527;1437;4;0;Friendly;Serbia;Win;80.0;;75.8;80.3;81.8;;;
11/11/2021;Australia;Saudi Arabia;34;49;1489;1432;0;0;FIFA World Cup qualification;Australia;Draw;77.0;70.0;72.0;72.3;73.5;72.8;67.7;72.8
27/10/2021;Mexico;Ecuador;9;55;1672;1416;2;3;Friendly;USA;Lose;80.0;71.0;76.8;82.7;78.2;73.5;76.0;74.5
14/10/2021;Brazil;Uruguay;2;12;1811;1645;4;1;FIFA World Cup qualification;Brazil;Win;89.0;80.0;84.8;86.3;85.5;81.2;84.3;80.0
13/10/2021;USA;Costa Rica;13;44;1643;1438;2;1;FIFA World Cup qualification;USA;Win;77.0;88.0;75.8;77.7;75.8;71.5;70.3;69.2
12/10/2021;Iran;South Korea;22;36;1538;1479;1;1;FIFA World Cup qualification;Iran;Draw;73.0;75.0;69.0;75.3;69.0;73.0;80.0;73.8
12/10/2021;Japan;Australia;26;32;1520;1493;2;1;FIFA World Cup qualification;Japan;Win;73.0;77.0;75.2;75.0;77.5;72.0;72.3;73.5
10/10/2021;Argentina;Uruguay;6;12;1725;1645;3;0;FIFA World Cup qualification;Argentina;Win;84.0;80.0;82.2;89.0;84.0;81.2;84.3;80.0
10/10/2021;Spain;France;8;4;1673;1754;1;2;UEFA Nations League;Italy;Lose;84.0;87.0;86.5;85.0;86.0;84.2;88.3;86.8
09/10/2021;Portugal;Qatar;7;43;1674;1445;3;0;Friendly;Portugal;Win;82.0;;85.2;86.0;84.5;;;
07/10/2021;Saudi Arabia;Japan;56;26;1406;1520;1;0;FIFA World Cup qualification;Saudi Arabia;Win;70.0;73.0;72.8;67.7;72.8;75.2;75.0;77.5
07/10/2021;Mexico;Canada;9;51;1666;1416;1;1;FIFA World Cup qualification;Mexico;Draw;80.0;76.0;76.8;82.7;78.2;69.2;73.0;78.0
07/10/2021;Belgium;France;1;4;1832;1754;2;3;UEFA Nations League;Italy;Lose;89.0;87.0;80.8;85.7;85.5;84.2;88.3;86.8
09/09/2021;Uruguay;Ecuador;13;55;1634;1405;1;0;FIFA World Cup qualification;Uruguay;Win;80.0;71.0;81.2;84.3;80.0;73.5;76.0;74.5
08/09/2021;Poland;England;27;4;1516;1752;1;1;FIFA World Cup qualification;Poland;Draw;87.0;83.0;75.2;84.7;75.8;85.0;88.0;84.0
05/09/2021;Costa Rica;Mexico;44;9;1449;1658;0;1;FIFA World Cup qualification;Costa Rica;Lose;88.0;80.0;71.5;70.3;69.2;76.8;82.7;78.2
05/09/2021;USA;Canada;10;59;1647;1399;1;1;FIFA World Cup qualification;USA;Draw;77.0;76.0;75.8;77.7;75.8;69.2;73.0;78.0
04/09/2021;Qatar;Portugal;42;8;1455;1661;1;3;Friendly;Hungary;Lose;;82.0;;;;85.2;86.0;84.5
01/09/2021;Qatar;Serbia;42;29;1455;1507;0;4;Friendly;Hungary;Lose;;80.0;;;;75.8;80.3;81.8
01/08/2021;USA;Mexico;20;11;1555;1629;1;0;Gold Cup;USA;Win;76.0;79.0;75.5;76.7;75.2;76.8;83.7;78.2
29/07/2021;Mexico;Canada;11;70;1629;1340;2;1;Gold Cup;USA;Win;79.0;75.0;76.8;83.7;78.2;71.2;70.7;74.2
