date;home_team;away_team;home_team_fifa_rank;away_team_fifa_rank;home_team_total_fifa_points;away_team_total_fifa_points;home_team_score;away_team_score;tournament;country;home_team_result;home_team_goalkeeper_score;away_team_goalkeeper_score;home_team_mean_defense_score;home_team_mean_offense_score;home_team_mean_midfield_score;away_team_mean_defense_score;away_team_mean_offense_score;away_team_mean_midfield_score
13/11/2015;Wales;Netherlands;15;16;1031;975;2;3;Friendly;Wales;Lose;73.0;82.0;76.5;75.0;76.2;79.5;85.3;81.2
12/11/2015;Ecuador;Uruguay;21;12;920;1050;2;1;FIFA World Cup qualification;Ecuador;Win;72.0;82.0;69.2;76.0;76.5;81.0;84.0;77.0
25/10/2015;Tunisia;Morocco;36;80;722;407;2;3;African Nations Championship;Tunisia;Lose;;70.0;71.5;68.7;75.0;77.0;74.7;78.8
13/10/2015;Iran;Japan;39;55;703;581;1;1;Friendly;Iran;Draw;68.0;;;67.0;;73.2;76.0;76.8
11/10/2015;Denmark;France;28;22;835;899;1;2;Friendly;Denmark;Lose;76.0;85.0;78.8;76.0;78.8;82.8;84.3;85.0
11/10/2015;Serbia;Portugal;63;4;537;1234;1;2;UEFA Euro qualification;Serbia;Lose;75.0;81.0;80.8;78.3;80.0;81.2;84.7;81.8
10/10/2015;USA;Mexico;29;27;807;842;2;3;Friendly;USA;Lose;80.0;80.0;76.2;75.7;76.8;76.0;79.3;78.5
08/10/2015;Argentina;Ecuador;1;31;1419;764;0;2;FIFA World Cup qualification;Argentina;Lose;79.0;72.0;82.5;88.7;84.0;69.2;76.0;76.5
08/10/2015;Portugal;Denmark;4;28;1234;835;1;0;UEFA Euro qualification;Portugal;Win;81.0;76.0;81.2;84.7;81.8;78.8;76.0;78.8
08/09/2015;England;Switzerland;10;17;1142;1011;2;0;UEFA Euro qualification;England;Win;84.0;82.0;83.0;81.0;83.2;80.0;78.0;79.0
08/09/2015;Mexico;Argentina;26;1;847;1441;2;2;Friendly;USA;Draw;80.0;79.0;76.0;79.3;78.5;82.5;88.7;84.0
07/09/2015;France;Serbia;24;66;893;528;2;1;Friendly;France;Win;85.0;75.0;82.8;84.3;85.0;80.8;78.3;80.0
05/09/2015;Costa Rica;Brazil;39;5;730;1208;0;1;Friendly;USA;Lose;79.0;83.0;74.8;71.7;73.2;85.2;84.7;83.2
04/09/2015;Germany;Poland;3;34;1248;764;3;1;UEFA Euro qualification;Germany;Win;90.0;79.0;84.8;81.7;86.8;78.2;79.0;79.0
04/09/2015;Portugal;France;6;24;1185;893;0;1;Friendly;Portugal;Lose;81.0;85.0;81.2;84.7;81.8;82.8;84.3;85.0
05/08/2015;Japan;South Korea;50;52;620;607;1;1;EAFF Championship;China PR;Draw;74.0;73.0;72.5;76.0;77.2;71.5;75.7;73.5
19/07/2015;Mexico;Costa Rica;40;41;696;695;1;0;Gold Cup;USA;Win;80.0;79.0;75.2;81.3;75.5;71.5;72.3;71.8
14/07/2015;Canada;Costa Rica;103;41;328;695;0;0;Gold Cup;Canada;Draw;64.0;79.0;64.5;66.3;72.0;71.5;72.3;71.8
27/06/2015;Mexico;Costa Rica;23;14;926;1056;2;2;Friendly;USA;Draw;80.0;79.0;75.2;81.3;75.5;71.5;72.3;71.8
19/06/2015;Mexico;Ecuador;23;31;926;806;1;2;Copa América;Chile;Lose;80.0;72.0;75.2;81.3;75.5;68.5;74.3;75.8
16/06/2015;Argentina;Uruguay;3;8;1496;1183;1;0;Copa América;Chile;Win;79.0;82.0;81.2;88.0;82.8;78.8;84.0;76.0
15/06/2015;Morocco;Tunisia;92;29;368;807;1;1;African Nations Championship;Morocco;Draw;69.0;;76.0;74.7;78.0;73.0;70.7;73.0
13/06/2015;Denmark;Serbia;29;45;807;672;2;0;UEFA Euro qualification;Denmark;Win;77.0;75.0;77.2;75.0;77.0;81.0;75.0;79.5
12/06/2015;Wales;Belgium;22;2;929;1508;1;0;UEFA Euro qualification;Wales;Win;72.0;86.0;74.5;67.7;79.8;81.2;78.3;82.8
11/06/2015;Spain;Costa Rica;10;14;1147;1056;2;1;Friendly;Spain;Win;84.0;79.0;83.0;85.7;85.8;71.5;72.3;71.8
10/06/2015;Germany;USA;1;27;1775;823;1;2;Friendly;Germany;Lose;90.0;82.0;84.0;85.7;86.5;73.2;76.3;77.2
07/06/2015;Brazil;Mexico;5;23;1392;926;2;0;Friendly;Brazil;Win;82.0;80.0;83.8;84.0;82.2;75.2;81.3;75.5
07/06/2015;France;Belgium;9;2;1163;1508;3;4;Friendly;France;Lose;85.0;86.0;81.0;81.3;84.5;81.2;78.3;82.8
05/06/2015;Netherlands;USA;6;27;1377;823;3;4;Friendly;Netherlands;Lose;79.0;82.0;78.2;87.3;81.8;73.2;76.3;77.2
15/04/2015;USA;Mexico;27;18;815;937;2;0;Friendly;USA;Win;82.0;80.0;73.2;76.3;77.2;75.2;81.3;75.5
31/03/2015;Netherlands;Spain;5;11;1414;1130;2;0;Friendly;Netherlands;Win;79.0;84.0;78.2;87.3;81.8;83.0;85.7;85.8
31/03/2015;Switzerland;USA;12;32;1126;827;1;1;Friendly;Switzerland;Draw;80.0;82.0;76.5;74.7;79.2;73.2;76.3;77.2
29/03/2015;France;Denmark;8;28;1179;863;2;0;Friendly;France;Win;85.0;77.0;81.0;81.3;84.5;77.2;75.0;77.0
29/03/2015;Portugal;Serbia;7;40;1190;709;2;1;UEFA Euro qualification;Portugal;Win;81.0;75.0;80.2;84.3;81.2;81.0;75.0;79.5
28/03/2015;Ghana;Senegal;24;36;887;771;1;2;Friendly;France;Lose;67.0;64.0;70.5;73.0;78.2;75.8;79.0;74.2
28/03/2015;Morocco;Uruguay;89;9;378;1164;0;1;Friendly;Morocco;Lose;69.0;82.0;76.0;74.7;78.0;78.8;84.0;76.0
27/03/2015;Japan;Tunisia;53;25;617;881;2;0;Kirin Challenge Cup;Japan;Win;74.0;;72.5;76.0;77.2;73.0;70.7;73.0
26/03/2015;France;Brazil;8;6;1179;1348;1;3;Friendly;France;Lose;85.0;82.0;81.0;81.3;84.5;83.8;84.0;82.2
25/03/2015;Denmark;USA;28;32;863;827;3;2;Friendly;Denmark;Win;77.0;82.0;77.2;75.0;77.0;73.2;76.3;77.2
25/03/2015;Germany;Australia;1;65;1770;549;2;2;Friendly;Germany;Draw;90.0;76.0;84.0;85.7;86.5;70.0;71.7;71.2
31/01/2015;Australia;South Korea;100;69;328;487;2;1;AFC Asian Cup;Australia;Win;76.0;73.0;70.0;71.7;71.2;71.5;75.7;73.5
19/01/2015;Ghana;Senegal;37;35;713;733;1;2;African Cup of Nations;Equatorial Guinea;Lose;67.0;64.0;70.5;73.0;78.2;75.8;79.0;74.2
17/01/2015;Australia;South Korea;100;69;328;487;0;1;AFC Asian Cup;Australia;Lose;76.0;73.0;70.0;71.7;71.2;71.5;75.7;73.5
15/01/2015;Qatar;Iran;92;51;346;588;0;1;AFC Asian Cup;Australia;Lose;;68.0;;;;;;
04/01/2015;South Korea;Saudi Arabia;69;102;480;323;2;0;Friendly;Australia;Win;73.0;70.0;71.5;75.7;73.5;69.2;73.3;72.8
26/11/2014;Saudi Arabia;Qatar;97;88;340;368;1;2;Gulf Cup;Saudi Arabia;Lose;70.0;;69.2;73.3;72.8;;;
18/11/2014;Iran;South Korea;51;66;560;495;1;0;Friendly;Iran;Win;68.0;73.0;;;;71.5;75.7;73.5
18/11/2014;Japan;Australia;52;94;558;359;2;1;Friendly;Japan;Win;74.0;76.0;72.5;76.0;77.2;70.0;71.7;71.2
18/11/2014;Portugal;Argentina;9;2;1174;1564;1;0;Friendly;England;Win;81.0;79.0;80.2;84.3;81.2;81.2;88.0;82.8
18/11/2014;Spain;Germany;10;1;1118;1668;0;1;Friendly;Spain;Lose;84.0;90.0;83.0;85.7;85.8;84.0;85.7;86.5
16/11/2014;Belgium;Wales;4;34;1388;715;0;0;UEFA Euro qualification;Belgium;Draw;86.0;72.0;81.2;78.3;82.8;74.5;67.7;79.8
14/11/2014;Serbia;Denmark;46;32;613;763;1;3;UEFA Euro qualification;Serbia;Lose;75.0;77.0;81.0;75.0;79.5;77.2;75.0;77.0
13/11/2014;Saudi Arabia;Qatar;97;88;340;368;1;1;Gulf Cup;Saudi Arabia;Draw;70.0;;69.2;73.3;72.8;;;
13/11/2014;Uruguay;Costa Rica;8;16;1184;974;3;3;Friendly;Uruguay;Draw;82.0;79.0;78.8;84.0;76.0;71.5;72.3;71.8
12/11/2014;Argentina;Croatia;2;14;1564;1001;2;1;Friendly;England;Win;79.0;76.0;81.2;88.0;82.8;77.8;78.3;81.2
12/11/2014;Netherlands;Mexico;5;17;1374;954;2;3;Friendly;Netherlands;Lose;79.0;80.0;78.2;87.3;81.8;75.2;81.3;75.5
15/10/2014;Tunisia;Senegal;31;36;700;644;1;0;African Cup of Nations qualification;Tunisia;Win;;64.0;73.0;70.7;73.0;75.8;79.0;74.2
14/10/2014;Denmark;Portugal;27;11;832;1149;0;1;UEFA Euro qualification;Denmark;Lose;77.0;81.0;77.2;75.0;77.0;80.2;84.3;81.2
14/10/2014;Japan;Brazil;48;6;557;1291;0;4;Friendly;Singapore;Lose;74.0;82.0;72.5;76.0;77.2;83.8;84.0;82.2
14/10/2014;South Korea;Costa Rica;63;15;500;987;1;3;Friendly;South Korea;Lose;73.0;79.0;71.5;75.7;73.5;71.5;72.3;71.8
14/10/2014;Qatar;Australia;96;84;341;390;1;0;Friendly;Qatar;Win;;76.0;;;;70.0;71.7;71.2
11/10/2014;Argentina;Brazil;2;6;1630;1291;0;2;Superclásico de las Américas;China PR;Lose;79.0;82.0;81.2;88.0;82.8;83.8;84.0;82.2
11/10/2014;France;Portugal;9;11;1201;1149;2;1;Friendly;France;Win;85.0;81.0;81.0;81.3;84.5;80.2;84.3;81.2
11/10/2014;Poland;Germany;70;1;435;1765;2;0;UEFA Euro qualification;Poland;Win;80.0;90.0;77.0;76.3;78.0;84.0;85.7;86.5
10/10/2014;Saudi Arabia;Uruguay;82;7;401;1242;1;1;Friendly;Saudi Arabia;Draw;70.0;82.0;69.2;73.3;72.8;78.8;84.0;76.0
10/10/2014;Senegal;Tunisia;36;31;644;700;0;0;African Cup of Nations qualification;Senegal;Draw;64.0;;75.8;79.0;74.2;73.0;70.7;73.0
08/09/2014;Australia;Saudi Arabia;79;83;391;376;3;2;Friendly;England;Win;76.0;70.0;70.0;71.7;71.2;69.2;73.3;72.8
08/09/2014;South Korea;Uruguay;57;6;499;1315;0;1;Friendly;South Korea;Lose;73.0;82.0;71.5;75.7;73.5;78.8;84.0;76.0
08/09/2014;Switzerland;England;9;20;1218;915;0;2;UEFA Euro qualification;Switzerland;Lose;80.0;82.0;76.5;74.7;79.2;81.8;83.0;81.0
07/09/2014;Serbia;France;31;10;723;1211;1;1;Friendly;Serbia;Draw;75.0;85.0;81.0;75.0;79.5;81.0;81.3;84.5
05/09/2014;Japan;Uruguay;44;6;593;1315;0;2;Kirin Challenge Cup;Japan;Lose;74.0;82.0;72.5;76.0;77.2;78.8;84.0;76.0
04/09/2014;Belgium;Australia;5;79;1406;391;2;0;Friendly;Belgium;Win;86.0;76.0;81.2;78.3;82.8;70.0;71.7;71.2
04/09/2014;France;Spain;10;7;1211;1240;1;0;Friendly;France;Win;85.0;84.0;81.0;81.3;84.5;83.0;85.7;85.8
03/09/2014;Germany;Argentina;1;2;1735;1604;2;4;Friendly;Germany;Lose;90.0;79.0;84.0;85.7;86.5;81.2;88.0;82.8
03/09/2014;Morocco;Qatar;81;92;381;348;0;0;Friendly;Morocco;Draw;69.0;;76.0;74.7;78.0;;;
13/07/2014;Germany;Argentina;2;5;1299;1174;1;0;FIFA World Cup;Brazil;Win;87.0;79.0;84.5;84.7;86.0;81.2;89.3;83.2
12/07/2014;Brazil;Netherlands;3;15;1242;981;0;3;FIFA World Cup;Brazil;Lose;82.0;80.0;84.8;84.0;83.2;76.5;87.0;81.5
09/07/2014;Netherlands;Argentina;15;5;981;1174;0;0;FIFA World Cup;Brazil;Lose;80.0;79.0;76.5;87.0;81.5;81.2;89.3;83.2
08/07/2014;Brazil;Germany;3;2;1242;1299;1;7;FIFA World Cup;Brazil;Lose;82.0;87.0;84.8;84.0;83.2;84.5;84.7;86.0
05/07/2014;Argentina;Belgium;5;11;1174;1073;1;0;FIFA World Cup;Brazil;Win;79.0;84.0;81.2;89.3;83.2;81.2;81.0;82.5
05/07/2014;Netherlands;Costa Rica;15;28;981;762;0;0;FIFA World Cup;Brazil;Win;80.0;78.0;76.5;87.0;81.5;70.8;72.3;72.8
04/07/2014;France;Germany;17;2;913;1299;0;1;FIFA World Cup;Brazil;Lose;84.0;87.0;81.0;82.3;85.0;84.5;84.7;86.0
01/07/2014;Argentina;Switzerland;5;6;1174;1148;1;0;FIFA World Cup;Brazil;Win;79.0;80.0;81.2;89.3;83.2;77.0;76.3;78.8
01/07/2014;Belgium;USA;11;13;1073;1034;2;1;FIFA World Cup;Brazil;Win;84.0;81.0;81.2;81.0;82.5;73.0;76.0;77.0
29/06/2014;Netherlands;Mexico;15;20;981;881;2;1;FIFA World Cup;Brazil;Win;80.0;78.0;76.5;87.0;81.5;74.8;81.3;74.8
26/06/2014;South Korea;Belgium;57;11;546;1073;0;1;FIFA World Cup;Brazil;Lose;73.0;84.0;70.5;73.7;75.0;81.2;81.0;82.5
26/06/2014;Portugal;Ghana;4;37;1189;704;2;1;FIFA World Cup;Brazil;Win;81.0;71.0;80.5;84.7;81.5;70.5;72.7;78.5
26/06/2014;USA;Germany;13;2;1034;1299;0;1;FIFA World Cup;Brazil;Lose;81.0;87.0;73.0;76.0;77.0;84.5;84.7;86.0
25/06/2014;Ecuador;France;26;17;791;913;0;0;FIFA World Cup;Brazil;Draw;70.0;84.0;68.0;74.0;76.8;81.0;82.3;85.0
24/06/2014;Costa Rica;England;28;10;762;1090;0;0;FIFA World Cup;Brazil;Draw;78.0;82.0;70.8;72.3;72.8;82.0;83.7;81.2
23/06/2014;Australia;Spain;62;1;525;1484;0;3;FIFA World Cup;Brazil;Lose;77.0;86.0;69.0;72.0;71.8;83.5;85.7;87.0
23/06/2014;Brazil;Cameroon;3;56;1242;558;4;1;FIFA World Cup;Brazil;Win;82.0;72.0;84.8;84.0;83.2;77.5;77.0;77.5
23/06/2014;Croatia;Mexico;18;20;903;881;1;3;FIFA World Cup;Brazil;Lose;75.0;78.0;77.8;79.7;80.0;74.8;81.3;74.8
22/06/2014;USA;Portugal;13;4;1034;1189;2;2;FIFA World Cup;Brazil;Draw;81.0;81.0;73.0;76.0;77.0;80.5;84.7;81.5
21/06/2014;Argentina;Iran;5;43;1174;641;1;0;FIFA World Cup;Brazil;Win;79.0;68.0;81.2;89.3;83.2;;62.7;
21/06/2014;Germany;Ghana;2;37;1299;704;2;2;FIFA World Cup;Brazil;Draw;87.0;71.0;84.5;84.7;86.0;70.5;72.7;78.5
20/06/2014;Switzerland;France;6;17;1148;913;2;5;FIFA World Cup;Brazil;Lose;80.0;84.0;77.0;76.3;78.8;81.0;82.3;85.0
19/06/2014;Uruguay;England;7;10;1147;1090;2;1;FIFA World Cup;Brazil;Win;82.0;82.0;78.5;84.7;78.2;82.0;83.7;81.2
18/06/2014;Australia;Netherlands;62;15;525;981;2;3;FIFA World Cup;Brazil;Lose;77.0;80.0;69.0;72.0;71.8;76.5;87.0;81.5
18/06/2014;Cameroon;Croatia;56;18;558;903;0;4;FIFA World Cup;Brazil;Lose;72.0;75.0;77.5;77.0;77.5;77.8;79.7;80.0
17/06/2014;Brazil;Mexico;3;20;1242;881;0;0;FIFA World Cup;Brazil;Draw;82.0;78.0;84.8;84.0;83.2;74.8;81.3;74.8
16/06/2014;Germany;Portugal;2;4;1299;1189;4;0;FIFA World Cup;Brazil;Win;87.0;81.0;84.5;84.7;86.0;80.5;84.7;81.5
16/06/2014;Ghana;USA;37;13;704;1034;1;2;FIFA World Cup;Brazil;Lose;71.0;81.0;70.5;72.7;78.5;73.0;76.0;77.0
15/06/2014;Switzerland;Ecuador;6;26;1148;791;2;1;FIFA World Cup;Brazil;Win;80.0;70.0;77.0;76.3;78.8;68.0;74.0;76.8
14/06/2014;Uruguay;Costa Rica;7;28;1147;762;1;3;FIFA World Cup;Brazil;Lose;82.0;78.0;78.5;84.7;78.2;70.8;72.3;72.8
13/06/2014;Mexico;Cameroon;20;56;881;558;1;0;FIFA World Cup;Brazil;Win;78.0;72.0;74.8;81.3;74.8;77.5;77.0;77.5
13/06/2014;Spain;Netherlands;1;15;1484;981;1;5;FIFA World Cup;Brazil;Lose;86.0;80.0;83.5;85.7;87.0;76.5;87.0;81.5
12/06/2014;Brazil;Croatia;3;18;1242;903;3;1;FIFA World Cup;Brazil;Win;82.0;75.0;84.8;84.0;83.2;77.8;79.7;80.0
09/06/2014;Ghana;South Korea;37;57;704;546;4;0;Friendly;USA;Win;71.0;73.0;70.5;72.7;78.5;70.5;73.7;75.0
07/06/2014;Belgium;Tunisia;11;48;1073;611;1;0;Friendly;Belgium;Win;84.0;;81.2;81.0;82.5;75.2;71.0;74.0
06/06/2014;Brazil;Serbia;3;30;1242;745;1;0;Friendly;Brazil;Win;82.0;76.0;84.8;84.0;83.2;81.5;75.7;78.8
06/06/2014;Croatia;Australia;18;62;903;525;1;0;Friendly;Brazil;Win;75.0;77.0;77.8;79.7;80.0;69.0;72.0;71.8
06/06/2014;Mexico;Portugal;20;4;881;1189;0;1;Friendly;USA;Lose;78.0;81.0;74.8;81.3;74.8;80.5;84.7;81.5
04/06/2014;Ecuador;England;28;11;794;1042;2;2;Friendly;USA;Draw;70.0;82.0;68.0;74.0;76.8;82.0;83.7;81.2
04/06/2014;Netherlands;Wales;15;47;967;613;2;0;Friendly;Netherlands;Win;80.0;72.0;76.5;87.0;81.5;74.2;69.7;79.5
02/06/2014;Costa Rica;Japan;34;47;747;613;1;3;Friendly;USA;Lose;78.0;74.0;70.8;72.3;72.8;72.2;72.7;78.2
01/06/2014;Germany;Cameroon;2;50;1340;582;2;2;Friendly;Germany;Draw;87.0;72.0;84.5;84.7;86.0;77.5;77.0;77.5
31/05/2014;Mexico;Ecuador;19;28;877;794;3;1;Friendly;USA;Win;78.0;70.0;74.8;81.3;74.8;68.0;74.0;76.8
31/05/2014;Netherlands;Ghana;15;38;967;712;1;0;Friendly;Netherlands;Win;80.0;71.0;76.5;87.0;81.5;70.5;72.7;78.5
28/05/2014;South Korea;Tunisia;55;49;550;596;0;1;Friendly;South Korea;Lose;73.0;;70.5;73.7;75.0;75.2;71.0;74.0
17/05/2014;Netherlands;Ecuador;15;28;967;794;1;1;Friendly;Netherlands;Draw;80.0;70.0;76.5;87.0;81.5;68.0;74.0;76.8
13/05/2014;Germany;Poland;2;72;1340;478;0;0;Friendly;Germany;Draw;87.0;80.0;84.5;84.7;86.0;76.8;78.3;76.2
05/03/2014;Australia;Ecuador;53;24;575;831;3;4;Friendly;England;Lose;77.0;70.0;69.0;72.0;71.8;68.0;74.0;76.8
05/03/2014;England;Denmark;15;20;1031;907;1;0;Friendly;England;Win;82.0;77.0;82.0;83.7;81.2;77.5;74.7;76.5
05/03/2014;France;Netherlands;18;10;917;1121;2;0;Friendly;France;Win;84.0;80.0;81.0;82.3;85.0;76.5;87.0;81.5
05/03/2014;Portugal;Cameroon;4;46;1219;626;5;1;Friendly;Portugal;Win;81.0;72.0;80.5;84.7;81.5;77.5;77.0;77.5
05/03/2014;Switzerland;Croatia;6;16;1158;966;2;2;Friendly;Switzerland;Draw;80.0;75.0;77.0;76.3;78.8;77.8;79.7;80.0
01/02/2014;USA;South Korea;14;53;1018;581;2;0;Friendly;USA;Win;81.0;73.0;73.0;76.0;77.0;70.5;73.7;75.0
29/01/2014;Mexico;South Korea;21;53;891;581;4;0;Friendly;USA;Win;78.0;73.0;74.8;81.3;74.8;70.5;73.7;75.0
25/01/2014;Costa Rica;South Korea;32;53;743;581;0;1;Friendly;USA;Lose;78.0;73.0;70.8;72.3;72.8;70.5;73.7;75.0
31/12/2013;Qatar;Saudi Arabia;103;87;324;391;4;1;WAFF Championship;Qatar;Win;;69.0;;;;67.2;72.0;73.8
19/11/2013;Australia;Costa Rica;57;31;563;743;1;0;Friendly;Australia;Win;77.0;78.0;69.0;72.0;71.8;70.8;72.3;72.8
19/11/2013;Belgium;Japan;5;44;1175;634;2;3;Friendly;Belgium;Lose;84.0;74.0;81.2;81.0;82.5;72.2;72.7;78.2
19/11/2013;England;Germany;10;2;1079;1310;0;1;Friendly;England;Lose;82.0;87.0;82.0;83.7;81.2;84.5;84.7;86.0
17/11/2013;Cameroon;Tunisia;59;47;554;631;4;1;FIFA World Cup qualification;Cameroon;Win;72.0;;77.5;77.0;77.5;75.2;71.0;74.0
16/11/2013;Netherlands;Japan;8;44;1135;634;2;2;Friendly;Belgium;Draw;80.0;74.0;76.5;87.0;81.5;72.2;72.7;78.2
15/11/2013;Argentina;Ecuador;3;22;1266;861;0;0;Friendly;USA;Draw;79.0;70.0;81.2;89.3;83.2;68.0;74.0;76.8
15/11/2013;South Korea;Switzerland;56;7;568;1137;2;1;Friendly;South Korea;Win;73.0;80.0;70.5;73.7;75.0;77.0;76.3;78.8
15/10/2013;Australia;Canada;53;106;602;323;3;0;Friendly;England;Win;77.0;64.0;69.0;72.0;71.8;65.0;67.7;69.2
15/10/2013;Belgium;Wales;6;52;1159;605;1;1;FIFA World Cup qualification;Belgium;Draw;84.0;72.0;81.2;81.0;82.5;74.2;69.7;79.5
15/10/2013;Costa Rica;Mexico;33;21;733;836;2;1;FIFA World Cup qualification;Costa Rica;Win;78.0;78.0;70.8;72.3;72.8;74.8;81.3;74.8
15/10/2013;England;Poland;17;65;946;538;2;0;FIFA World Cup qualification;England;Win;82.0;80.0;82.0;83.7;81.2;76.8;78.3;76.2
15/10/2013;Uruguay;Argentina;7;2;1125;1262;3;2;FIFA World Cup qualification;Uruguay;Win;82.0;79.0;78.5;84.7;78.2;81.2;89.3;83.2
13/10/2013;Tunisia;Cameroon;46;61;642;557;0;0;FIFA World Cup qualification;Tunisia;Draw;;72.0;75.2;71.0;74.0;77.5;77.0;77.5
12/10/2013;South Korea;Brazil;58;8;573;1066;0;2;Friendly;South Korea;Lose;73.0;82.0;70.5;73.7;75.0;84.8;84.0;83.2
11/10/2013;Croatia;Belgium;10;6;1050;1159;1;2;FIFA World Cup qualification;Croatia;Lose;75.0;84.0;77.8;79.7;80.0;81.2;81.0;82.5
11/10/2013;Ecuador;Uruguay;20;7;851;1125;1;0;FIFA World Cup qualification;Ecuador;Win;70.0;82.0;68.0;74.0;76.8;78.5;84.7;78.2
11/10/2013;France;Australia;25;53;812;602;6;0;Friendly;France;Win;84.0;77.0;81.0;82.3;85.0;69.0;72.0;71.8
11/10/2013;Serbia;Japan;43;42;666;671;2;0;Friendly;Serbia;Win;76.0;74.0;81.5;75.7;78.8;72.2;72.7;78.2
10/09/2013;Brazil;Portugal;9;7;1089;1099;3;1;Friendly;USA;Win;82.0;81.0;84.8;84.0;83.2;80.5;84.7;81.5
10/09/2013;Japan;Ghana;37;24;695;829;3;1;Friendly;Japan;Win;74.0;71.0;72.2;72.7;78.2;70.5;72.7;78.5
10/09/2013;South Korea;Croatia;56;8;593;1098;1;2;Friendly;South Korea;Lose;73.0;75.0;70.5;73.7;75.0;77.8;79.7;80.0
10/09/2013;USA;Mexico;19;20;959;879;2;0;FIFA World Cup qualification;USA;Win;81.0;78.0;73.0;76.0;77.0;74.8;81.3;74.8
10/09/2013;Wales;Serbia;46;41;629;660;0;3;FIFA World Cup qualification;Wales;Lose;72.0;76.0;74.2;69.7;79.5;81.5;75.7;78.8
07/09/2013;Brazil;Australia;9;46;1089;629;6;0;Friendly;Brazil;Win;82.0;77.0;84.8;84.0;83.2;69.0;72.0;71.8
06/09/2013;Costa Rica;USA;42;19;650;959;3;1;FIFA World Cup qualification;Costa Rica;Win;78.0;81.0;70.8;72.3;72.8;73.0;76.0;77.0
06/09/2013;Serbia;Croatia;41;8;660;1098;1;1;FIFA World Cup qualification;Serbia;Draw;76.0;75.0;81.5;75.7;78.8;77.8;79.7;80.0
14/08/2013;Belgium;France;10;23;1079;838;0;0;Friendly;Belgium;Draw;83.0;85.0;82.0;79.7;81.8;81.8;82.7;84.5
14/08/2013;Ecuador;Spain;17;1;972;1483;0;2;Friendly;Ecuador;Lose;70.0;88.0;68.2;74.7;76.8;84.8;84.3;88.5
14/08/2013;Japan;Uruguay;37;12;695;998;2;4;Friendly;Japan;Lose;70.0;81.0;75.2;72.7;78.8;79.2;80.3;81.0
14/08/2013;Poland;Denmark;72;27;493;787;3;2;Friendly;Poland;Win;80.0;78.0;76.2;75.7;76.8;76.8;74.0;76.8
14/08/2013;Portugal;Netherlands;7;5;1099;1165;1;1;Friendly;Portugal;Draw;82.0;81.0;81.2;83.7;82.0;76.8;86.3;83.2
14/08/2013;Switzerland;Brazil;15;9;987;1089;1;0;Friendly;Switzerland;Win;80.0;83.0;77.0;73.0;79.0;84.0;82.3;83.2
28/07/2013;South Korea;Japan;43;37;641;689;1;2;EAFF Championship;South Korea;Lose;73.0;70.0;71.2;75.0;74.0;75.2;72.7;78.8
25/07/2013;Japan;Australia;37;40;689;671;3;2;EAFF Championship;South Korea;Win;70.0;79.0;75.2;72.7;78.8;71.2;68.7;73.8
20/07/2013;South Korea;Australia;43;40;641;671;0;0;EAFF Championship;South Korea;Draw;73.0;79.0;71.2;75.0;74.0;71.2;68.7;73.8
16/07/2013;USA;Costa Rica;22;39;865;688;1;0;Gold Cup;USA;Win;81.0;74.0;72.2;74.0;78.0;69.2;71.3;75.2
13/07/2013;Morocco;Tunisia;79;47;469;626;0;0;African Nations Championship;Morocco;Draw;71.0;;73.5;76.7;79.0;72.2;72.3;73.2
11/07/2013;Mexico;Canada;20;88;879;413;2;0;Gold Cup;USA;Win;78.0;67.0;76.0;80.7;75.0;68.0;73.3;68.5
30/06/2013;Brazil;Spain;22;1;872;1614;3;0;Confederations Cup;Brazil;Win;83.0;88.0;84.0;82.3;83.2;84.8;84.3;88.5
26/06/2013;Brazil;Uruguay;22;19;872;913;2;1;Confederations Cup;Brazil;Win;83.0;81.0;84.0;82.3;83.2;79.2;80.3;81.0
22/06/2013;Japan;Mexico;32;17;764;927;1;2;Confederations Cup;Brazil;Lose;70.0;78.0;75.2;72.7;78.8;76.0;80.7;75.0
19/06/2013;Brazil;Mexico;22;17;872;927;2;0;Confederations Cup;Brazil;Win;83.0;78.0;84.0;82.3;83.2;76.0;80.7;75.0
18/06/2013;South Korea;Iran;40;67;665;505;0;1;FIFA World Cup qualification;South Korea;Lose;73.0;68.0;71.2;75.0;74.0;;;
16/06/2013;Spain;Uruguay;1;19;1614;913;2;1;Confederations Cup;Brazil;Win;88.0;81.0;84.8;84.3;88.5;79.2;80.3;81.0
15/06/2013;Brazil;Japan;22;32;872;764;3;0;Confederations Cup;Brazil;Win;83.0;70.0;84.0;82.3;83.2;75.2;72.7;78.8
11/06/2013;Ecuador;Argentina;10;3;1065;1286;1;1;FIFA World Cup qualification;Ecuador;Draw;70.0;80.0;68.2;74.7;76.8;81.8;89.0;84.0
11/06/2013;Mexico;Costa Rica;17;48;927;617;0;0;FIFA World Cup qualification;Mexico;Draw;78.0;74.0;76.0;80.7;75.0;69.2;71.3;75.2
10/06/2013;Croatia;Portugal;4;6;1222;1136;0;1;Friendly;Switzerland;Lose;74.0;82.0;73.8;80.0;79.5;81.2;83.7;82.0
09/06/2013;Brazil;France;22;18;872;922;3;0;Friendly;Brazil;Win;83.0;85.0;84.0;82.3;83.2;81.8;82.7;84.5
07/06/2013;Belgium;Serbia;12;36;1034;723;2;1;FIFA World Cup qualification;Belgium;Win;83.0;78.0;82.0;79.7;81.8;82.8;78.3;78.2
